,OID,WATERBODY_CODE,Waterbody_LID,LOCNAME,lat,long,ID,SPECIES_NAME,SAMPLE_YEAR,SAMPLE_DATE,LENGTH_CM,WEIGHT_GRAM,SEX,VALUE,Waterbody_Name,LCOUPCORSM,COUPCORSM,TP,TPMAX,TEMPMEANYR,SA_ha
67,11393,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,104046,Lake Trout,2009,10-Jul-09,48.2,832,F,0.52,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
68,11394,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,104047,Lake Trout,2009,10-Jul-09,55,1344,F,0.79,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
69,11395,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,104048,Lake Trout,2009,10-Jul-09,69.2,3118,F,1.1,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
70,11396,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,104049,Lake Trout,2009,10-Jul-09,73,3478,M,0.93,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
71,11397,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,104050,Lake Trout,2009,10-Jul-09,74.2,3830,F,1.4,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
72,23250,48329206,15-5662-53769,Beaverhouse Lake,48.54333333,-92.10277778,110542,Lake Trout,2010,22-Jun-10,34.9,240,F,0.37,Beaverhouse L.,-2.223040926,0.097700403,4.764313552,5.176078258,17.58504033,2000.8
73,23251,48329206,15-5662-53769,Beaverhouse Lake,48.54333333,-92.10277778,110543,Lake Trout,2010,22-Jun-10,36.1,252,,1,Beaverhouse L.,-2.223040926,0.097700403,4.764313552,5.176078258,17.58504033,2000.8
74,23252,48329206,15-5662-53769,Beaverhouse Lake,48.54333333,-92.10277778,110544,Lake Trout,2010,22-Jun-10,45.5,669,F,0.46,Beaverhouse L.,-2.223040926,0.097700403,4.764313552,5.176078258,17.58504033,2000.8
75,23253,48329206,15-5662-53769,Beaverhouse Lake,48.54333333,-92.10277778,110545,Lake Trout,2010,22-Jun-10,46,659,F,0.32,Beaverhouse L.,-2.223040926,0.097700403,4.764313552,5.176078258,17.58504033,2000.8
76,23254,48329206,15-5662-53769,Beaverhouse Lake,48.54333333,-92.10277778,110611,Lake Trout,2010,22-Jun-10,46.1,816,F,1.1,Beaverhouse L.,-2.223040926,0.097700403,4.764313552,5.176078258,17.58504033,2000.8
